Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2016-10-20,-26.23371033,48.58168761,54.87785958,54.85177996,44.92755794
2016-10-21,390.93555960000003,67.41409336,55.03862808,54.94251092,80.87165112
2016-10-24,412.7917138,73.27514858,55.29808633,55.08026012,100.0
2016-10-25,360.4507174,73.16948663,55.5519745,55.22939688,92.47530544
2016-10-26,258.50402990000003,69.29175287,55.75810867,55.36971746,85.34657136
2016-10-27,183.0494646,63.92093496,55.98971133,55.45567285,74.85146037
2016-10-28,134.72596000000001,61.6864085,56.20937558,55.53097585,70.29702382
2016-10-31,123.5807202,61.99744186,56.44814100000001,55.62244158,71.28710323
2016-11-01,87.86675762,60.72343793,56.63756233,55.72896758,68.91088493
2016-11-02,72.66953734,56.84455647,56.813453,55.78333273,58.81105283
2016-11-03,54.66054424,54.6108344,56.93681492,55.82667781,54.14011765
2016-11-04,25.2344692,49.81939172,57.03072992,55.87479819,43.52440415
2016-11-07,94.40620136,62.07482003,57.28302517,55.97838542,79.83012311
2016-11-08,97.81901131,62.36427359,57.347492,56.09042177,80.89175815
2016-11-09,67.51532103,59.43340356,57.2814335,56.19804965,57.89468698
2016-11-10,12.34168198,47.62329602,57.0991755,56.23698685,28.60964097
2016-11-11,-1.765545265,49.95463356,56.97103825,56.28400535,37.16576854
2016-11-14,-33.5901276,44.0199682,56.81345317,56.29576008,21.4285605
2016-11-15,10.93559084,51.87209635,56.76551733,56.34085742,44.78869454
2016-11-16,35.27690882,56.38039566,56.77610058,56.44602365,67.71437143
2016-11-17,95.88907467,61.33144418,56.87555925,56.59074004,91.55308362
2016-11-18,94.22443461,59.21126341,56.98122917,56.73171085,79.53365285
2016-11-21,96.29343395,61.71758115,57.14527258,56.87317565,92.7461658
2016-11-22,108.7013061,62.96690852,57.36994267,57.03160212,96.4824363
2016-11-23,77.73778627,57.38229156,57.40082675,57.14723969,78.39205487
2016-11-25,63.13930671,58.10473975,57.43814658,57.27245992,81.65831197
2016-11-28,74.1710292,58.57025557,57.50575383,57.41092392,83.66841298
2016-11-29,98.5469867,61.34529570000001,57.72881575,57.47861192,92.25181786
2016-11-30,62.45494675,54.54208051,57.85990492,57.46638315,72.154922
2016-12-01,-36.07653322,47.32389227,57.97769,57.41532108,46.48914129
2016-12-02,-73.04471683,47.67566315,58.00813767,57.37933235,47.69977053
2016-12-05,19.3217706,54.08197999,58.05380975,57.39868446,61.4887055
2016-12-06,16.06425197,52.16733011,57.99852208,57.41649996,44.06136243
2016-12-07,94.20579917,60.15635272,58.08025108,57.48499242,98.46739522
2016-12-08,120.2608564,57.5328142,58.09227025,57.54457931,79.49628112
2016-12-09,159.1160279,62.25952357,58.1603775,57.65325958,99.37300999
2016-12-12,173.0328154,63.179012199999995,58.3022,57.77741742,96.28568571
2016-12-13,212.63495530000003,66.71586103,58.49850942,57.94989662,90.4762317
2016-12-14,190.49472839999999,64.25413166,58.6643705,58.04846792,83.44084583
2016-12-15,160.2892893,63.41414991,58.78375875,58.14150427,81.29035213
2016-12-16,134.54468830000002,61.00918199,58.94721567,58.23520569,75.26878483
2016-12-19,173.46231930000002,67.30434336,59.30137375,58.43172027,96.98187183
2016-12-20,163.7881889,66.60249473,59.64511517,58.61352169,94.80004
2016-12-21,145.4623061,66.60249473,59.91113342,58.82838304,94.80004
2016-12-22,142.13083569999998,66.65291568,60.19958783,59.00145558,87.88547658
2016-12-23,106.6729607,63.45529657,60.34942342,59.13421835,80.00008837
2016-12-27,112.85318059999999,63.69727618,60.5313095,59.23184865,80.93025138
2016-12-28,83.45994799,60.56575361,60.61303817,59.32947912,65.95102206
2016-12-29,71.27507639,59.58672113,60.6715305,59.40492108,59.59605346
2016-12-30,38.39365488,51.94960613,60.60422392,59.44264181,17.64699703
2017-01-03,42.02626977,55.50522102,60.59621117,59.52326073,26.57020607
2017-01-04,32.46175958,52.82629488,60.57377533,59.58871754,13.04348456
2017-01-05,26.67982787,52.82629488,60.57377533,59.65121562,13.04348456
2017-01-06,43.64520422,57.42256362,60.51127658,59.71593296,39.130502
2017-01-09,45.50751475,55.27450711,60.43916292,59.80394846,29.46861327
2017-01-10,37.06754528,55.05272723,60.36544675,59.93042462,28.50242923
2017-01-11,52.53456544,59.98103077,60.33660092,60.07613092,56.03867441
2017-01-12,31.12437188,53.54723415,60.28612133,60.164516000000006,30.69771725
2017-01-13,27.42186006,54.36522866,60.23964842,60.26621465,35.37737518
